Designator,Mid X,Mid Y,Layer,Rotation
C1,134.52208,-104.518431,Top,0
C2,145.5236,-100.0708,Top,0
C3,149.42208,-106.945098,Top,0
C4,152.22208,-106.945098,Top,0
C5,155.02208,-106.945098,Top,0
C6,157.82208,-106.945098,Top,0
C7,138.8,-100.0708,Top,0
C8,145.565,-75.426,Top,-90
C9,120.8,-98.286,Top,0
C10,142.39,-76.778,Top,-90
C11,137.437,-76.778,Top,-90
C12,134.52208,-99.518431,Top,0
C13,123.848,-98.286,Top,0
D1,135.49,-115.1516,Top,180
D2,130.2816,-115.1516,Top,180
D3,140.716,-115.1516,Top,180
F1,130.706,-74.492,Top,0
FB1,137.564,-87.618,Top,0
FB2,137.564,-82.538,Top,0
Q1,142.263,-81.776,Top,0
Q2,142.263,-88.38,Top,0
R1,145.311,-82.726,Top,0
R2,145.311,-89.33,Top,0
R3,145.311,-80.826,Top,0
R4,145.311,-87.43,Top,0
R5,133.09,-115.1516,Top,90
R6,127.8816,-115.1516,Top,90
R7,135.659,-75.426,Top,-90
R8,140.612,-75.426,Top,-90
R9,138.316,-115.1516,Top,90
U1,153.62208,-100.745098,Top,0
U3,145.0236,-102.6548,Top,180
U4,139.2844,-102.6548,Top,180
U5,122.324,-102.993098,Top,0
