Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
,,,165.25,-77.712,0,top
C1,100uf,C_1206_3216Metric,134.52208,-104.518431,0,top
C2,1uf,C_0402_1005Metric,145.5236,-100.0708,0,top
C3,1uf,C_0402_1005Metric_ref-flip,149.42208,-106.945098,0,top
C4,1uf,C_0402_1005Metric,152.22208,-106.945098,0,top
C5,1uf,C_0402_1005Metric,155.02208,-106.945098,0,top
C6,1uf,C_0402_1005Metric_ref-flip,157.82208,-106.945098,0,top
C7,1uf,C_0402_1005Metric,138.8,-100.0708,0,top
C8,47uf,C_0805_2012Metric,143.25,-75.426,-90,top
C9,100nf,C_0402_1005Metric,120.8,-98.286,0,top
C10,470pf,C_0402_1005Metric,138.336,-85.75,0,top
C11,470pf,C_0402_1005Metric,138.336,-84.35,0,top
C12,10uf,C_1206_3216Metric,134.52208,-99.518431,0,top
C13,100nf,C_0402_1005Metric,123.848,-98.286,0,top
D1,LED_Small,LED_0805_MOUSE,135.49,-115.1516,0,top
D2,LED_Small,LED_0805_PWR,130.2816,-115.1516,0,top
D3,LED_Small,LED_0805_KB,140.716,-115.1516,0,top
F1,Polyfuse,PolyFuse_1206,130.706,-74.492,0,top
FB1,Ferrite,FB_0805_2012Metric,137.564,-87.618,0,top
FB2,Ferrite,FB_0805_2012Metric,137.564,-82.538,0,top
Q1,Q_NPN_BEC,SOT-23-3,142.263,-81.776,0,top
Q2,Q_NPN_BEC,SOT-23-3,142.263,-88.38,0,top
R1,1K,R_0402_LEDS,145.311,-82.726,0,top
R2,1K,R_0402_LEDS,145.311,-89.33,0,top
R3,10K,R_0402_LEDS,145.311,-80.826,0,top
R4,10K,R_0402_LEDS,145.311,-87.43,0,top
R5,1K,R_0402_LEDS,133.09,-115.1516,90,top
R6,1K,R_0402_LEDS,127.8816,-115.1516,90,top
R7,2.2K,R_0805_2012Metric,135.75,-75.426,-90,top
R8,2.2K,R_0805_2012Metric,139.5,-75.426,-90,top
R9,1K,R_0402_LEDS,138.316,-115.1516,90,top
R10,120K,R_0805_2012Metric,147,-75.426,-90,top
U1,MAX232,max232_soic-16,153.62208,-100.745098,0,top
U3,74LVC2G34,SOT-23-6,145.0236,-102.6548,180,top
U4,74LVC2G34,SOT-23-6,139.2844,-102.6548,180,top
U5,CH340N,CH340N,122.324,-102.993098,0,top
